"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5992","userDeletesEmailByIdTesting","","Mon Nov 25 02:34:09 GMT 2024","passed","Mon Nov 25 02:34:15 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","4127","userGetsNotEmptyEmailsTesting","","Mon Nov 25 02:34:03 GMT 2024","passed","Mon Nov 25 02:34:07 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","4843","newUserGetEmptyEmailsListTesting","","Mon Nov 25 02:33:58 GMT 2024","passed","Mon Nov 25 02:34:03 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","1643","shouldBePossibleCreateNewUserTesting","","Mon Nov 25 02:34:19 GMT 2024","passed","Mon Nov 25 02:34:21 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","1640","shouldNotBePossibleCreateExistingUserTesting","","Mon Nov 25 02:34:07 GMT 2024","passed","Mon Nov 25 02:34:09 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","4467","userGetsEmailByIdTesting","","Mon Nov 25 02:34:15 GMT 2024","passed","Mon Nov 25 02:34:19 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
