"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5089","userGetsEmailByIdTesting","","Tue Nov 19 02:25:30 GMT 2024","passed","Tue Nov 19 02:25:35 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","5084","userGetsNotEmptyEmailsTesting","","Tue Nov 19 02:25:16 GMT 2024","passed","Tue Nov 19 02:25:21 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","6871","userDeletesEmailByIdTesting","","Tue Nov 19 02:25:23 GMT 2024","passed","Tue Nov 19 02:25:30 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","4920","newUserGetEmptyEmailsListTesting","","Tue Nov 19 02:25:10 GMT 2024","passed","Tue Nov 19 02:25:15 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","1731","shouldBePossibleCreateNewUserTesting","","Tue Nov 19 02:25:35 GMT 2024","passed","Tue Nov 19 02:25:36 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","2137","shouldNotBePossibleCreateExistingUserTesting","","Tue Nov 19 02:25:21 GMT 2024","passed","Tue Nov 19 02:25:23 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
