"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4911","newUserGetEmptyEmailsListTesting","","Thu Oct 31 22:33:56 GMT 2024","passed","Thu Oct 31 22:34:01 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","3115","shouldNotBePossibleCreateExistingUserTesting","","Thu Oct 31 22:34:08 GMT 2024","passed","Thu Oct 31 22:34:11 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","7980","userDeletesEmailByIdTesting","","Thu Oct 31 22:34:11 GMT 2024","passed","Thu Oct 31 22:34:19 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2426","shouldBePossibleCreateNewUserTesting","","Thu Oct 31 22:34:25 GMT 2024","passed","Thu Oct 31 22:34:28 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","6389","userGetsEmailByIdTesting","","Thu Oct 31 22:34:19 GMT 2024","passed","Thu Oct 31 22:34:25 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","6571","userGetsNotEmptyEmailsTesting","","Thu Oct 31 22:34:01 GMT 2024","passed","Thu Oct 31 22:34:08 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
