"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4771","newUserGetEmptyEmailsListTesting","","Wed Dec 04 02:36:45 GMT 2024","passed","Wed Dec 04 02:36:50 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","1607","shouldNotBePossibleCreateExistingUserTesting","","Wed Dec 04 02:36:54 GMT 2024","passed","Wed Dec 04 02:36:56 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","6108","userDeletesEmailByIdTesting","","Wed Dec 04 02:36:56 GMT 2024","passed","Wed Dec 04 02:37:02 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","1674","shouldBePossibleCreateNewUserTesting","","Wed Dec 04 02:37:07 GMT 2024","passed","Wed Dec 04 02:37:08 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","4633","userGetsEmailByIdTesting","","Wed Dec 04 02:37:02 GMT 2024","passed","Wed Dec 04 02:37:07 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","3993","userGetsNotEmptyEmailsTesting","","Wed Dec 04 02:36:50 GMT 2024","passed","Wed Dec 04 02:36:54 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
