"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4722","newUserGetEmptyEmailsListTesting","","Wed Jan 01 02:25:47 GMT 2025","passed","Wed Jan 01 02:25:52 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","4235","userGetsNotEmptyEmailsTesting","","Wed Jan 01 02:25:52 GMT 2025","passed","Wed Jan 01 02:25:56 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","6309","userDeletesEmailByIdTesting","","Wed Jan 01 02:25:58 GMT 2025","passed","Wed Jan 01 02:26:04 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","1698","shouldNotBePossibleCreateExistingUserTesting","","Wed Jan 01 02:25:56 GMT 2025","passed","Wed Jan 01 02:25:58 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","1708","shouldBePossibleCreateNewUserTesting","","Wed Jan 01 02:26:09 GMT 2025","passed","Wed Jan 01 02:26:11 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","5061","userGetsEmailByIdTesting","","Wed Jan 01 02:26:04 GMT 2025","passed","Wed Jan 01 02:26:09 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
