"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4884","newUserGetEmptyEmailsListTesting","","Thu Oct 31 23:21:51 GMT 2024","passed","Thu Oct 31 23:21:56 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","5855","userGetsNotEmptyEmailsTesting","","Thu Oct 31 23:21:56 GMT 2024","passed","Thu Oct 31 23:22:02 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","6015","userGetsEmailByIdTesting","","Thu Oct 31 23:22:13 GMT 2024","passed","Thu Oct 31 23:22:19 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","7994","userDeletesEmailByIdTesting","","Thu Oct 31 23:22:05 GMT 2024","passed","Thu Oct 31 23:22:13 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2505","shouldBePossibleCreateNewUserTesting","","Thu Oct 31 23:22:19 GMT 2024","passed","Thu Oct 31 23:22:22 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","3150","shouldNotBePossibleCreateExistingUserTesting","","Thu Oct 31 23:22:02 GMT 2024","passed","Thu Oct 31 23:22:05 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
