"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2424","shouldBePossibleCreateNewUserTesting","","Sun Dec 01 02:50:00 GMT 2024","passed","Sun Dec 01 02:50:03 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","4692","newUserGetEmptyEmailsListTesting","","Sun Dec 01 02:49:38 GMT 2024","passed","Sun Dec 01 02:49:43 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","4191","userGetsNotEmptyEmailsTesting","","Sun Dec 01 02:49:43 GMT 2024","passed","Sun Dec 01 02:49:47 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","6259","userDeletesEmailByIdTesting","","Sun Dec 01 02:49:49 GMT 2024","passed","Sun Dec 01 02:49:55 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2003","shouldNotBePossibleCreateExistingUserTesting","","Sun Dec 01 02:49:47 GMT 2024","passed","Sun Dec 01 02:49:49 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","4885","userGetsEmailByIdTesting","","Sun Dec 01 02:49:55 GMT 2024","passed","Sun Dec 01 02:50:00 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
