"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 23:22:28 GMT 2024","Mon Oct 28 23:22:30 GMT 2024","2294","","org.example.tests.ApiTesting","","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting","shouldBePossibleCreateNewUserTesting",""
"passed","Mon Oct 28 23:22:23 GMT 2024","Mon Oct 28 23:22:28 GMT 2024","4999","","org.example.tests.ApiTesting","","org.example.tests.ApiTesting","userGetsEmailByIdTesting","userGetsEmailByIdTesting",""
"passed","Mon Oct 28 23:22:09 GMT 2024","Mon Oct 28 23:22:13 GMT 2024","4244","","org.example.tests.ApiTesting","","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting","userGetsNotEmptyEmailsTesting",""
"passed","Mon Oct 28 23:22:13 GMT 2024","Mon Oct 28 23:22:16 GMT 2024","3087","","org.example.tests.ApiTesting","","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting","shouldNotBePossibleCreateExistingUserTesting",""
"passed","Mon Oct 28 23:22:04 GMT 2024","Mon Oct 28 23:22:09 GMT 2024","4944","","org.example.tests.ApiTesting","","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting","newUserGetEmptyEmailsListTesting",""
"passed","Mon Oct 28 23:22:16 GMT 2024","Mon Oct 28 23:22:23 GMT 2024","6579","","org.example.tests.ApiTesting","","org.example.tests.ApiTesting","userDeletesEmailByIdTesting","userDeletesEmailByIdTesting",""
