"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4975","newUserGetEmptyEmailsListTesting","","Thu Oct 31 22:38:12 GMT 2024","passed","Thu Oct 31 22:38:17 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","5820","userGetsNotEmptyEmailsTesting","","Thu Oct 31 22:38:17 GMT 2024","passed","Thu Oct 31 22:38:23 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","2802","shouldBePossibleCreateNewUserTesting","","Thu Oct 31 22:38:41 GMT 2024","passed","Thu Oct 31 22:38:44 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","3595","shouldNotBePossibleCreateExistingUserTesting","","Thu Oct 31 22:38:23 GMT 2024","passed","Thu Oct 31 22:38:27 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","6530","userGetsEmailByIdTesting","","Thu Oct 31 22:38:35 GMT 2024","passed","Thu Oct 31 22:38:41 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","8257","userDeletesEmailByIdTesting","","Thu Oct 31 22:38:27 GMT 2024","passed","Thu Oct 31 22:38:35 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
