"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2209","shouldNotBePossibleCreateExistingUserTesting","","Sun Nov 24 02:36:14 GMT 2024","passed","Sun Nov 24 02:36:16 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","5586","newUserGetEmptyEmailsListTesting","","Sun Nov 24 02:36:03 GMT 2024","passed","Sun Nov 24 02:36:09 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","7392","userDeletesEmailByIdTesting","","Sun Nov 24 02:36:16 GMT 2024","passed","Sun Nov 24 02:36:23 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","5648","userGetsEmailByIdTesting","","Sun Nov 24 02:36:23 GMT 2024","passed","Sun Nov 24 02:36:29 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","2172","shouldBePossibleCreateNewUserTesting","","Sun Nov 24 02:36:29 GMT 2024","passed","Sun Nov 24 02:36:31 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","5073","userGetsNotEmptyEmailsTesting","","Sun Nov 24 02:36:09 GMT 2024","passed","Sun Nov 24 02:36:14 GMT 2024","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
